id,label,SLC10A2,OR2T10,NTS,SLC6A3,LINC00887,ENPP7P8,AL163636.1,SLC47A1P1,AC025627.1,TTC21B-AS1,AL109615.1,AP003465.2,AL109946.1,AC133637.1
TCGA-BP-4166-01A,0,2.954447209,0.641751191,0.407312271,5.254389117,3.188359757,0.03334477,0.5250254,0.1788689,0.7829236,4.364246,1.615677064,0.07089552,1.451497,0
TCGA-BP-4970-01A,0,0.440557091,1.312019171,0.841677598,1.19947354,2.871607487,0.7135739,0.3867657,0.02392653,0.1217259,5.076396,0.903813821,0.04084455,0.5920277,0
TCGA-CJ-4636-01A,0,0.081012758,0.128270201,0.881448046,3.681589523,2.636700689,0.09479574,0.2678312,0.1843643,0.4737465,4.354412,1.421720425,0.1596785,0.3346781,0
TCGA-B8-A7U6-01A,0,2.75783621,0.71360896,0.385053027,4.928776339,3.757138786,0.6566691,0.8762927,0.3039625,0.4972832,4.247109,2.840511868,0.09372379,1.550222,0
TCGA-A4-A57E-01A,1,0.340367553,0.658855007,0.073723774,0.328676064,2.689502705,0.624010069,0.195514304,0.226160231,0.29085443,1.165429877,0.376998938,0,0.333489757,0
TCGA-2Z-A9JQ-01A,1,0.136470594,0,0,0,0.765241994,0.081785221,0.044443713,0,0.174277187,0,0,0,0,0
TCGA-MH-A562-01A,1,0.086629636,0.500907488,0.738496886,0.008379365,0.644440823,0.196017243,0.11999871,0.290587583,0.050462049,0.057462816,0,0,0,0
TCGA-UZ-A9PN-01A,1,0.453601104,0.737413102,0.215559115,0.028657271,1.931476782,0.062887135,0.131710526,0.059243687,0.667646516,0.27491736,0,0,0.598235339,0
TCGA-Y8-A898-01A,1,0.333941584,0.251664338,0,0,0.857213418,0,0.285714834,0.246426767,0.451767228,0,0.259005151,0,0.155963568,0
TCGA-KV-A6GD-01A,1,0.163455714,0.091986864,0,0.006648991,1.465448638,0,0.237358574,0.330427952,1.640230633,0.056971197,0.18379807,0,0.014155022,0
TCGA-HE-A5NH-01A,1,0.486739269,0.123954956,0.038560521,0,1.310825512,0.109207987,0.617548465,0.219603006,0.603426001,0.02356341,0,0,0.190400726,0
TCGA-2Z-A9JG-01A,1,1.286914468,0.385125641,0.031023923,0.01089012,0.42420841,0.015093342,0.293536876,0.322702915,1.558130139,0.083332396,0,0,0.122937972,0
TCGA-A4-8312-01A,1,0.075580403,0.061142167,0.018735201,0,0.014052802,0,0,0,0.115737335,0.011418038,0,0,0,0
TCGA-MH-A55W-01A,1,0.191987257,0.287259069,0,0,1.87188341,0,0.351863993,0.090310892,0.079537844,0.43920102,0,0,0.187235652,0
TCGA-IA-A83V-01A,1,0.212358358,0.416081617,0.02623595,0,1.300773568,0.074880387,0.319213763,0.236604903,0.833363107,0.031835451,0.08775959,0,0.057917581,0
TCGA-EV-5901-01A,1,0.028369103,0.03793071,0,0.008067355,0.516694105,0.033299058,0.460196004,0.134404011,0.228156044,0.041716214,0,0,0.034128325,0
TCGA-BQ-7060-01A,1,0.073373227,0.059348003,0,0,0.215885256,0.675453659,0.13293296,0.256961376,0.926225913,0.022070308,0.041086918,0,0.02696644,0
TCGA-P4-A5EA-01A,1,0.168294241,0,0,0.024984675,0.07044221,0,0.142797207,0,0,0.029007265,0.080099053,0,0.069998062,0
TCGA-B3-4103-01A,1,0.508609362,0.033232365,0,0.014083632,0.958355679,0.113294713,0.464432143,0.289307731,1.874861214,0.106998092,0,0,0,0
TCGA-DW-7837-01A,1,0.101382533,0.565045163,0,0.008065838,0.148479606,0.817712523,0.536838121,0.370568938,0.461392363,0.041708458,0.220211266,0,0.017161859,0
TCGA-A4-7996-01A,1,0.215201919,0.116262238,0.020739449,0.02526276,1.081899504,0.107097722,0.428352601,0.189806839,0.486413724,0.086258628,0.069680519,0,0.202662732,0
TCGA-UZ-A9PP-01A,1,1.697002631,0.047257568,0,0.005047162,1.602444421,0.041503324,0.248360182,0.150350939,1.621697536,0,0.095883979,0,0.073631116,0.014600443
TCGA-2Z-A9JE-01A,1,0.185717727,0.500467402,0,0,0.380850222,0.038326989,0.230556472,0.28632402,0.30691958,0.094442828,0.131044064,0,0.155558684,0
TCGA-MH-A857-01A,1,0,0,0.035019297,0.006164941,0.006621106,0,0.036335164,0,0.364978278,0.021389247,0.059335757,0,0,0
TCGA-2Z-A9J2-01A,1,0.152356487,0.06326291,0.038532619,0,0.014548494,0.656487745,0,0.091824417,0.365468239,0,0,0,0.028766584,0
